iteration,vertex_id,degree_normalized,normalized_degree,dual_normalized,weighted_neighbor_dual_normalized,complement_degree_normalized,complement_dual_normalized,occurrence_rate,score_contribution
0,0,0.038647,0.018801,0.000000,0.029459,0.961353,0.974448,0.482759,0.000000
0,1,0.038647,0.018801,0.000000,0.000000,0.961353,1.000000,0.275862,0.000000
0,2,0.077295,0.028202,0.000000,0.324841,0.922705,0.718232,0.327586,0.000000
0,3,0.077295,0.028202,0.126930,0.324841,0.922705,0.692680,0.172414,0.032300
0,4,0.077295,0.028202,0.000000,0.241640,0.922705,0.790401,0.327586,0.000000
0,5,0.077295,0.028202,0.000000,0.212182,0.922705,0.815953,0.293103,0.000000
0,6,0.077295,0.028202,0.000000,0.649682,0.922705,0.436464,0.293103,0.000000
0,7,0.077295,0.028202,0.000000,0.649682,0.922705,0.436464,0.241379,0.000000
0,8,0.154589,0.047004,0.530017,0.861863,0.845411,0.145718,0.103448,0.106003
0,9,0.154589,0.047004,0.420240,0.891322,0.845411,0.142265,0.137931,0.084048
0,10,0.154589,0.047004,0.768439,0.974522,0.845411,0.000000,0.172414,0.153688
0,11,0.154589,0.047004,1.000000,0.861863,0.845411,0.051105,0.103448,0.254474
0,12,0.057971,0.023502,0.000000,0.175955,0.942029,0.847376,0.379310,0.000000
0,13,0.057971,0.023502,0.000000,0.146497,0.942029,0.872928,0.189655,0.000000
0,14,0.096618,0.032902,0.000000,0.345939,0.903382,0.699931,0.275862,0.000000
0,15,0.096618,0.032902,0.000000,0.331210,0.903382,0.712707,0.155172,0.000000
0,16,0.096618,0.032902,0.000000,0.354299,0.903382,0.692680,0.327586,0.000000
0,17,0.096618,0.032902,0.000000,0.324841,0.903382,0.718232,0.189655,0.000000
0,18,0.096618,0.032902,0.000000,0.705812,0.903382,0.387776,0.310345,0.000000
0,19,0.096618,0.032902,0.000000,0.691083,0.903382,0.400552,0.258621,0.000000
0,20,0.173913,0.051704,0.708405,0.834395,0.826087,0.133633,0.137931,0.141681
0,21,0.173913,0.051704,0.272727,0.898885,0.826087,0.165401,0.172414,0.054545
0,22,0.173913,0.051704,0.145798,0.890525,0.826087,0.198204,0.172414,0.029160
0,23,0.173913,0.051704,0.000000,0.729299,0.826087,0.367403,0.172414,0.000000
0,24,0.057971,0.023502,0.000000,0.000000,0.942029,1.000000,0.206897,0.000000
0,25,0.057971,0.023502,0.000000,0.000000,0.942029,1.000000,0.224138,0.000000
0,26,0.096618,0.032902,0.000000,0.140127,0.903382,0.878453,0.172414,0.000000
0,27,0.096618,0.032902,0.000000,0.140127,0.903382,0.878453,0.172414,0.000000
0,28,0.096618,0.032902,0.000000,0.033838,0.903382,0.970649,0.137931,0.000000
0,29,0.096618,0.032902,0.000000,0.033838,0.903382,0.970649,0.155172,0.000000
0,30,0.096618,0.032902,0.000000,0.181131,0.903382,0.842887,0.241379,0.000000
0,31,0.096618,0.032902,0.000000,0.181131,0.903382,0.842887,0.224138,0.000000
0,32,0.173913,0.051704,0.000000,0.173965,0.826087,0.849102,0.137931,0.000000
0,33,0.173913,0.051704,0.000000,0.214968,0.826087,0.813536,0.103448,0.000000
0,34,0.173913,0.051704,0.000000,0.321258,0.826087,0.721340,0.189655,0.000000
0,35,0.173913,0.051704,0.000000,0.355096,0.826087,0.691989,0.120690,0.000000
0,36,0.038647,0.018801,0.000000,0.207803,0.961353,0.819751,0.465517,0.000000
0,37,0.038647,0.018801,0.000000,0.207803,0.961353,0.819751,0.448276,0.000000
0,38,0.057971,0.023502,0.000000,0.222532,0.942029,0.806975,0.413793,0.000000
